baked	1980	74598
baked	1990	113648
baking	1960	55998
baking	1970	64216
baking	1980	80704
baking	1990	133124
balanced	1960	224782
balanced	1970	241586
balanced	1980	283256
balanced	1990	347754
baldwin	1960	105269
baldwin	1970	115943
baldwin	1980	113490
baldwin	1990	120047
ball	1960	517037
ball	1970	534050
ball	1980	554874
ball	1990	813852
balls	1960	121195
balls	1970	122162
balls	1980	128983
balls	1990	196518
balsam	1960	15121
balsam	1970	13275
balsam	1980	12007
balsam	1990	15450
banana	1960	42883
banana	1970	48352
banana	1980	57849
banana	1990	84826
bananas	1960	36480
bananas	1970	39107
bananas	1980	42563
bananas	1990	57017
band	1960	598488
band	1970	601984
band	1980	711474
band	1990	912928
bank	1960	1083536
bank	1970	1149132
bank	1980	1390782
bank	1990	1737469
bare	1960	275025
bare	1970	235322
bare	1980	235401
bare	1990	317002
bark	1960	130972
bark	1970	134124
bark	1980	105218
bark	1990	145271
barn	1960	92229
barn	1970	94595
barn	1980	113032
barn	1990	153210
barrel	1960	104894
barrel	1970	120665
barrel	1980	134885
barrel	1990	180679
barrels	1960	69314
barrels	1970	76024
barrels	1980	78157
barrels	1990	74273
barren	1960	90259
barren	1970	78724
barren	1980	70683
barren	1990	83734
bars	1960	193129
bars	1970	225928
bars	1980	250782
bars	1990	365590
based	1960	1899690
based	1970	2625796
based	1980	3510513
based	1990	5315311
basic	1960	1846860
basic	1970	2298178
basic	1980	2571762
basic	1990	2853077
basket	1960	116516
basket	1970	126467
basket	1980	130316
basket	1990	183872
baskets	1960	52541
baskets	1970	57540
baskets	1980	51890
baskets	1990	77538
batter	1960	26455
batter	1970	27242
batter	1980	32959
batter	1990	57818
bay	1960	506398
bay	1970	523199
bay	1980	509734
bay	1990	674189
be	1960	70458957
be	1970	73096903
be	1980	75779365
be	1990	88061757
beans	1960	110488
beans	1970	129855
beans	1980	149614
beans	1990	226681
beardless	1960	5050
beardless	1970	3784
beardless	1980	3141
beardless	1990	3650
bearing	1960	538202
bearing	1970	511497
bearing	1980	529638
bearing	1990	598434
bears	1960	248031
bears	1970	219243
bears	1980	216582
bears	1990	285641
beautiful	1960	817049
beautiful	1970	799782
beautiful	1980	807831
beautiful	1990	1111496
beauty	1960	683957
beauty	1970	574300
beauty	1980	552047
beauty	1990	758062
became	1960	2937808
became	1970	2973340
became	1980	3052913
became	1990	3937517
because	1960	8636264
because	1970	9905118
because	1980	11499779
because	1990	15712717
become	1960	3674404
become	1970	3990616
become	1980	4181637
become	1990	5451049
becomes	1960	1616826
becomes	1970	1677435
becomes	1980	1744157
becomes	1990	2111008
bee	1960	127672
bee	1970	103058
bee	1980	91962
bee	1990	117355
been	1960	23749133
been	1970	23443271
been	1980	23290396
been	1990	26987297
bees	1960	72328
bees	1970	67519
bees	1980	59983
bees	1990	82947
before	1960	8326157
before	1970	8056928
before	1980	8318738
before	1990	10905627
